Identifier,Rated,Votes,Bayesian_Score,Wilson_Score,BTL_Score,DM_Score,My_WRS
Kibar Feyzo,4.35,17006,4.347108085131331,4.32430861512186,4.677419354838709,4.348780201046381,3.068996618664067
Zügürt Aga,4.35,16000,4.346926822429906,4.3234998859503975,4.677419354838709,4.348703530146829,3.0497869798208797
Neseli Günler,4.35,11709,4.345805383110808,4.318934458440515,4.677419354838709,4.348228615332081,2.9514266450948607
The Chaos Class Is Waking Up,4.35,20510,4.34760094844358,4.32664003055095,4.677419354838709,4.348988544967097,3.128016435608547
Oppenheimer,4.3,451781,4.299896367225799,4.294925568503148,4.623655913978495,4.2999546245346245,4.055066208049073
Se7en,4.3,1737317,4.299973048584438,4.297416137928789,4.623655913978495,4.299988200230009,4.4745255177545324
The Silence of the Lambs,4.3,1496964,4.299968721401402,4.297216091902141,4.623655913978495,4.2999863056616405,4.428153282345288
Saving Private Ryan,4.3,1452616,4.299967766506547,4.297173844335079,4.623655913978495,4.299985887578384,4.418787773049172
Star Wars: Episode IV - A New Hope,4.3,1415712,4.299966926291283,4.2971371835226675,4.623655913978495,4.299985519704856,4.410773698143341
The Green Mile,4.3,1363336,4.299965655727725,4.297082615885681,4.623655913978495,4.299984963409741,4.399033579081168
Spirited Away,4.3,811801,4.29994232377616,4.2962173716322845,4.623655913978495,4.299974747661387,4.237579605470498
Terminator 2: Judgment Day,4.3,1143575,4.299959056071701,4.29681410026205,4.623655913978495,4.299982073838297,4.344292588572828
City of God,4.3,782685,4.299940178348994,4.296147496984475,4.623655913978495,4.299973808276585,4.226204803644858
Life Is Beautiful,4.3,723773,4.299935309461015,4.295993408657919,4.623655913978495,4.299971676398012,4.201834956598093
It's a Wonderful Life,4.3,479743,4.299902406871296,4.2950761105406565,4.623655913978495,4.299957269233014,4.073768242238614
Seven Samurai,4.3,358540,4.299869420508101,4.29430172940538,4.623655913978495,4.299942824471127,3.9830779478093263
Harakiri,4.3,64055,4.299269565556509,4.286456246043177,4.623655913978495,4.299679987511708,3.4467132209586326
The Kashmir Files,4.3,571671,4.299918099037817,4.295490454110919,4.623655913978495,4.299964140527152,4.128365228055941
Sita Ramam,4.3,63266,4.29926046338998,4.286371379109843,4.623655913978495,4.299675996902214,3.4428534564787645
A Dog's Will,4.3,16075,4.297096155038759,4.272749383004552,4.623655913978495,4.29872512437811,3.0161882656716843
"Pretty Village, Pretty Flame",4.3,17347,4.297308472725182,4.273782979947504,4.623655913978495,4.298818579990779,3.0399032907601713
Nayakan,4.3,21576,4.2978348053269215,4.276529258266686,4.623655913978495,4.299050090357259,3.1078411306272264
Anbe Sivam,4.3,24569,4.29809803403875,4.2780241704776785,4.623655913978495,4.29916578497599,3.1482948468484824
The Chaos Class Is on Vacation,4.3,18521,4.297478622583598,4.274639930061871,4.623655913978495,4.298893447047393,3.0602960959783094
Gladiator,4.25,1565932,4.249971695396243,4.247199336440348,4.569892473118279,4.249987068445282,4.390527304880642
The Departed,4.25,1382399,4.2499679376960735,4.2470189209294755,4.569892473118279,4.249985351604885,4.352156127716436
Alien,4.25,920996,4.249951875910649,4.246346401690997,4.569892473118279,4.249978013053189,4.227150503027094
Parasite,4.25,891514,4.249950284556128,4.246286359885733,4.569892473118279,4.249977285958011,4.2171362182497845
The Prestige,4.25,1399151,4.249968321563521,4.24703684988562,4.569892473118279,4.249985526989128,4.355863705849336
Back to the Future,4.25,1265844,4.249964985614909,4.24688446953153,4.569892473118279,4.249984002831301,4.325044288313599
Whiplash,4.25,934655,4.24995257915599,4.246373249831076,4.569892473118279,4.249978334367578,4.231681936003238
Psycho,4.25,699966,4.249936680733012,4.245807831069594,4.569892473118279,4.249971070230052,4.1426815672446455
Léon: The Professional,4.25,1211195,4.249963405834493,4.2468148376197306,4.569892473118279,4.249983281043593,4.311460369341776
Django Unchained,4.25,1638136,4.249972942938103,4.247261847850961,4.569892473118279,4.249987638426729,4.404402476841423
The Usual Suspects,4.25,1120459,4.2499604425310284,4.246688149901689,4.569892473118279,4.249981927130189,4.287491910864293
The Lion King,4.25,1107680,4.24995998618797,4.2466690660260795,4.569892473118279,4.249981718629393,4.283961180585193
The Pianist,4.25,879833,4.249949624552355,4.246261739096412,4.569892473118279,4.2499769843994,4.21307657600604
American History X,4.25,1160105,4.249961794329206,4.246745333854162,4.569892473118279,4.249982544758686,4.298194924212982
Casablanca,4.25,592666,4.249925217979606,4.245443214903854,4.569892473118279,4.249965832645768,4.09146267107136
Cinema Paradiso,4.25,274382,4.249838486401003,4.243295086849039,4.569892473118279,4.2499261991275095,3.854419702104963
The Intouchables,4.25,899776,4.249950741032156,4.246303483595365,4.569892473118279,4.249977494523668,4.219975624043586
Grave of the Fireflies,4.25,296453,4.249850509101088,4.2435503993022206,4.569892473118279,4.249931693528257,3.8782336845398966
Rear Window,4.25,509752,4.249913055460747,4.245085620642581,4.569892473118279,4.2499602751899435,4.045074498266287
Once Upon a Time in the West,4.25,342065,4.249870439764407,4.243997239881152,4.569892473118279,4.249940801590318,3.922284153528635
Modern Times,4.25,252911,4.249824777337219,4.24301521436688,4.569892473118279,4.2499199338910945,3.829338728066063
City Lights,4.25,191662,4.249768796423802,4.241971865908686,4.569892473118279,4.249894348009829,3.743983500964676
Woman in the Dunes,4.25,21727,4.247964618634339,4.225950684661112,4.569892473118279,4.249068194367752,3.073850018939645
96,4.25,34349,4.248711459635454,4.230923380961935,4.569892473118279,4.249410548989928,3.2148247633845246
The Best of Youth,4.25,22797,4.248059942224362,4.226529023393969,4.569892473118279,4.249111920007017,3.088646529084773
The World of Apu,4.25,15816,4.24720632169419,4.221750322747014,4.569892473118279,4.248720055622274,2.9761168902967783
Le Trou,4.25,19501,4.247732878113651,4.224597059071407,4.569892473118279,4.2489618578898805,3.0405810061241203
Kumbalangi Nights,4.25,16281,4.2472858673688085,4.222162681242303,4.569892473118279,4.24875660076139,2.98503550522073
Sarpatta Parambarai,4.25,24437,4.248189876260874,4.2273399986374365,4.569892473118279,4.249171508059897,3.1100286563038293
Jersey,4.25,20723,4.247866244644491,4.2253674214352115,4.569892473118279,4.249023060594365,3.059287981981707
Thalapathi,4.25,12960,4.246593043812452,4.218743382396868,4.569892473118279,4.248438102583879,2.914820472324768
Selvi Boylum Al Yazmalim,4.25,16599,4.247337707970448,4.222434552379645,4.569892473118279,4.248780414357986,2.9909892198603623
Operation 'Y' & Other Shurik's Adventures,4.25,14280,4.246906873691556,4.220246396815392,4.569892473118279,4.2485824291214564,2.944672975611737
Gol Maal,4.25,19712,4.247757084303209,4.224735221168145,4.569892473118279,4.248972967489983,3.0438933850069123
Çöpçüler Krali,4.25,21014,4.247895722559818,4.225540806818765,4.569892473118279,4.249036585946048,3.0635800200580365
Zübük,4.25,10487,4.245793442156211,4.215188591447418,4.569892473118279,4.248069958063287,2.8496541338339494
The Shining,4.2,1071801,4.199960979184607,4.196523594799317,4.516129032258064,4.199981339906662,4.223545690208343
Joker,4.2,1406091,4.19997025582783,4.196965520875693,4.516129032258064,4.199985776220116,4.306123316867167
The Dark Knight Rises,4.2,1779181,4.199976492934307,4.197302838066993,4.516129032258064,4.199988758904353,4.377709752662801
Aliens,4.2,744260,4.199943807687657,4.195826721929706,4.516129032258064,4.199973127850967,4.112608419862588
Avengers: Endgame,4.2,1217214,4.1999656405677,4.196738201733288,4.516129032258064,4.199983569103012,4.26224519381447
Oldboy,4.2,612299,4.199931698263572,4.195397948814275,4.516129032258064,4.199967336486452,4.0532410622607244
Amadeus,4.2,417725,4.199899887499252,4.19442557703135,4.516129032258064,4.199952122184186,3.936922234656539
Spider-Man: Into the Spider-Verse,4.2,632177,4.199933845754769,4.19547104579644,4.516129032258064,4.199968363540879,4.062959318414708
Raiders of the Lost Ark,4.2,1014569,4.199958778122625,4.196426713454514,4.516129032258064,4.199980287292992,4.206853163273168
Come and See,4.2,90356,4.199537370307281,4.1879755785790955,4.516129032258064,4.19977866557475,3.4711995760088827
Memento,4.2,1289271,4.199967560832407,4.196830810450382,4.516129032258064,4.199984487417745,4.279739484803837
Apocalypse Now,4.2,692940,4.199939646315243,4.195674612269773,4.516129032258064,4.19997113768048,4.090875430659311
Coco,4.2,556622,4.199924866887503,4.195172723736461,4.516129032258064,4.199964069295955,4.024241955794982
Avengers: Infinity War,4.2,1157990,4.199963883371905,4.196655692544523,4.516129032258064,4.1999827287682585,4.247072858846476
WALL·E,4.2,1166041,4.199964132730637,4.196667277459008,4.516129032258064,4.199982848018003,4.249180395876264
3 Idiots,4.2,419105,4.199900217103458,4.194434787841711,4.516129032258064,4.199952279831071,3.9379254799744716
Your Name.,4.2,300107,4.199860657922354,4.193419999686782,4.516129032258064,4.199933358212935,3.836333761773937
The Lives of Others,4.2,401874,4.199895939282054,4.194316393870917,4.516129032258064,4.199950233776834,3.9251550035692917
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.2,507326,4.199917567050866,4.194943047803826,4.516129032258064,4.199960578005287,3.996034269467234
Capernaum,4.2,99464,4.199579712402275,4.18854256374063,4.516129032258064,4.199798932330676,3.500412567737708
Das Boot,4.2,259139,4.199838633198168,4.192917169024245,4.516129032258064,4.199922822832094,3.79168751679884
Sunset Blvd.,4.2,230763,4.199818794868573,4.192492724322989,4.516129032258064,4.199913332871109,3.756410446502037
Paths of Glory,4.2,206506,4.199797514959624,4.1920623393784195,4.516129032258064,4.199903152858686,3.7226274291635053
Witness for the Prosecution,4.2,132735,4.199685020898444,4.190089547175758,4.516129032258064,4.199849329516348,3.5881867132692906
High and Low,4.2,49926,4.19916310829198,4.183790166878097,4.516129032258064,4.199599447237188,3.290755809415579
The Great Dictator,4.2,232323,4.199820011361045,4.192518066457373,4.516129032258064,4.199913914810097,3.758459855574471
Kaithi,4.2,37945,4.198899210422424,4.181384321707542,4.516129032258064,4.1994729907773385,3.2072884572407014
Sardar Udham,4.2,45306,4.199077861804392,4.182976921280889,4.516129032258064,4.199558606077995,3.2612194522548204
Dil Bechara,4.2,133634,4.199687139074235,4.1901231039413,4.516129032258064,4.19985034308847,3.5902399562183223
Drishyam 2,4.2,39754,4.1989492387699725,4.1818166682166815,4.516129032258064,4.19949696923967,3.221454755611528
Asuran,4.2,32107,4.198699365612464,4.1797462578660225,4.516129032258064,4.199377179870453,3.1564718693903733
Sansho the Bailiff,4.2,17673,4.197640100434463,4.172605657746615,4.516129032258064,4.198868650299808,2.974870977263378
